id;code;value
1;Книги;../fake-data/blob/hipster.txt
2;обувь supply-chains ЭВМ;../fake-data/blob/hipster.txt
3;SMS Кожанный;../fake-data/blob/hipster.txt
4;Компьютер Майка systematic;../fake-data/blob/hipster.txt
5;leverage канал;../fake-data/blob/hipster.txt
6;Ножницы Centralized Бразилия;../fake-data/blob/hipster.txt
7;Czech Региональный success;../fake-data/blob/hipster.txt
8;Портмоне Албания;../fake-data/blob/hipster.txt
9;навигация Гранитный;../fake-data/blob/hipster.txt
10;RSS Bahraini коммуникационный;../fake-data/blob/hipster.txt
