id;code;name;status
1;contextually-based Республика Натуральный;Носки Монголия;false
2;Меховой functionalities;Account Total;true
3;technologies Меховой Ведущий;руководитель Кулон;false
4;world-class золотой;Berkshire Бакалея portals;false
5;Практичный детское ROI;пр.;false
6;сжатие Международный payment;Компьютер Optional область;true
7;Генеральный площадь;пурпурный;true
8;сенсор AGP Областной;Up-sized туризм application;false
9;Account Бетонный передать;синтезировать;true
10;Маленький;invoice цифровой разбор;true
