id;code;name;type
1;многобайтный;соединение;руководитель монитор
2;extranet deposit;планировщик;streamline User-centric Большой
3;садинструмент;cultivate ул. Пермская;микрочип Dobra
4;парсер;разработчик вспомогательный;contingency
5;вспомогательный context-sensitive сохранить;Автомобиль Эл Коморские;Клатч
6;Лоснящийся Районный solutions;передатчик withdrawal;Quality-focused Областной
7;разбор integrated;Портмоне;payment Резиновый проспект
8;планировщик Хлопковый;протокол;винчестер Programmable Деревянный
9;Dalasi;многобайтный deposit Account;Team-oriented Грубый
10;Inverse Credit;шифрование твердотельный;Деревянный Buckinghamshire ОС
