id;lang_type;title;description;text;cts;order_position;status
1;monitoring exploit;mission-critical улица;Носки initiative;../fake-data/blob/hipster.txt;2021-05-17T04:42:24;21289;true
2;Кабардино-Балкарская deliverables Account;matrix Personal;монитор;../fake-data/blob/hipster.txt;2021-05-17T13:14:06;73659;true
3;Свободный;администратор;scalable;../fake-data/blob/hipster.txt;2021-05-17T03:07:34;58335;false
4;администратор Business-focused Ботинок;страховой;область;../fake-data/blob/hipster.txt;2021-05-16T22:33:35;34881;true
5;нейронный Грубый modular;cross-platform;Persevering Практичный;../fake-data/blob/hipster.txt;2021-05-17T12:30:34;52129;true
6;твердотельный;синий;Tenge firmware навигация;../fake-data/blob/hipster.txt;2021-05-17T07:36:15;26748;true
7;экспортировать улица Money;Генеральный;deposit агент Бутан;../fake-data/blob/hipster.txt;2021-05-17T09:26:03;32357;false
8;функциональный;Фантастический dynamic;Checking;../fake-data/blob/hipster.txt;2021-05-16T20:19:37;31483;true
9;пр.;clear-thinking target Палау;Avon Невероятный generation;../fake-data/blob/hipster.txt;2021-05-16T22:02:58;56948;true
10;Uganda Натуральный;техник;ул.;../fake-data/blob/hipster.txt;2021-05-17T13:06:17;81038;true
